"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"hsa-miR-128-1-5p"	18.1449152762839	16.6261130724066	14.1851815187301	7.64422398806382	6.20302477292688	13.9609432102385
"hsa-miR-128-3p"	743.452850971032	794.844670280965	553.222153763401	816.968201007128	976.859789666397	435.850397187513
"hsa-miR-1285-3p"	59.2498781231163	22.2625844534325	22.3990535084909	5.35095325837185	4.49805779926509	1.0757934929363
"hsa-miR-1296-5p"	91.8376366356363	63.2419344433118	23.9651972420354	2.66669305046498	3.19902173512613	0.951597268334366
"hsa-miR-1301-3p"	61.5769080439747	48.2279678613522	329.87730763236	32.082911920387	66.4930104036061	12.3081705049
"hsa-miR-1304-3p"	167.38067058211	75.3982095553122	26.95185233888	10.231375342522	44.0027557795464	19.3565295223786
"hsa-miR-1306-5p"	8.93322105106837	6.08609853927079	8.14511770976829	5.43959355476302	8.61527638370154	0.341488146202765
"hsa-miR-1307-3p"	299.181516013244	219.148420821543	445.414744407881	151.915504203875	133.181530254208	94.7466005577028
"hsa-miR-1307-5p"	810.135414329754	754.887339254324	492.225895592741	431.028591759989	214.004290224323	194.808598571557
"hsa-miR-130a-3p"	1237.49843748269	1798.42939441896	48.2303326797975	17.7925735497672	166.794334182786	26.9626208611482
"hsa-miR-130b-3p"	878.185303222729	709.552230769168	261.006117604603	120.784849090476	177.964467719393	109.286101897479
"hsa-miR-130b-5p"	265.324215823645	247.722283839617	77.3786586295426	28.6397801299064	71.5774934270619	12.2300334578347
"hsa-miR-132-3p"	43.1123352852768	123.735529930831	198.11196497379	57.0840136475996	40.7148220834235	20.2337006067723
"hsa-miR-132-5p"	2.9777471949495	17.022642369759	31.2074589675491	11.555650704094	12.7506405526871	2.61451132845244
"hsa-miR-134-5p"	29.0629585303903	173.350832225189	0	0	3.79073736123309	0
"hsa-miR-136-3p"	162.570418630585	878.574050823169	0	0	3.61842753744877	1.42864279766088
"hsa-miR-136-5p"	29.8470528156856	215.632256145076	0	0	2.58459007529429	0
"hsa-miR-137"	47.2272755071995	46.9041919135542	1.59767981613569	0	0	0
"hsa-miR-138-5p"	74.4951495191185	512.020682381474	1.59767981613569	1.2452060819445	0.195567879847463	45.760439165433
"hsa-miR-139-5p"	16.347876717879	1.46564460988381	18.4407136144705	0.972209452132939	8.14299243944031	0.610941665311471
"hsa-miR-140-3p"	998.050799023814	1412.73384912822	2675.32966168845	7252.32624528051	7743.38794441676	6359.12773522091
"hsa-miR-140-5p"	35.3852062263404	39.0129095417225	76.6885481177542	137.329809213938	82.921028535637	84.7263827562882
"hsa-miR-141-3p"	1.10544887849362	2.0319570785825	32.5961564946585	428.752195042124	46.8767926880904	1567.71747890003
"hsa-miR-142-3p"	0	0	1073.64150089726	10193.5268982234	3700.33938369381	3891.9815652677
"hsa-miR-142-5p"	0	3.73299808562349	9759.41621389145	90252.6870199134	18945.0587846546	117325.241615279
"hsa-miR-143-3p"	70.7485200789272	27083.1780095395	111.995671409892	18.4867269192658	63119.5100194894	164.048942780858
"hsa-miR-143-5p"	0	62.4538173456214	0	0	41.2964343761454	0
"hsa-miR-145-3p"	0.744438509885721	108.156978432899	0	0	329.104961253429	0.134726759554353
"hsa-miR-145-5p"	1.81643169768092	176.895633155931	2.03628346611645	0	353.637367855818	1.03857845755264
"hsa-miR-1468-5p"	2.96249390615581	9.88263589169958	3.19535963227138	40.8327969895834	5.67146507834986	50.6441310412462
"hsa-miR-146a-3p"	1.16867753324928	0.888421671475737	14.1851815187301	3.70675327900793	0.290820157738739	0.182472329890436
"hsa-miR-146a-5p"	59.6025795087489	611.660565326635	9044.13354433519	1997.32708316885	642.158478045422	11127.1852537528
"hsa-miR-146b-3p"	1.10544887849362	12.1474743643546	1068.84912590292	698.045677377792	25.0105195541538	57.2834750934868
"hsa-miR-146b-5p"	8.18075117042346	201.271392443724	49128.9035164495	5487.91469080175	1806.09462193289	4588.9378244025
"hsa-miR-148a-3p"	337.724522331634	2373.5617460376	1732.74671762248	3720.94835942055	45963.8344939494	2476.33173140877
"hsa-miR-148a-5p"	5.58713621393389	36.8495296912126	25.5628770581711	32.8892334703223	309.723608105535	44.7494575602837
"hsa-miR-148b-3p"	1478.78366404591	1691.03047286733	1862.68223373769	1008.31909021998	2665.80474134576	1431.01773653746
"hsa-miR-148b-5p"	159.974887962285	132.961853845362	181.570412879259	63.3832421281523	73.3380408734628	42.7912492155681
"hsa-miR-149-5p"	214.109894491053	246.095291480787	4.79303114273118	3.70675327900793	0.290820157738739	0.567026792753136
"hsa-miR-150-3p"	0	0	0	267.357599336558	6.20302477292688	215.849256842291
"hsa-miR-150-5p"	31.6940159847891	1.56892787875004	188.52638441753	285241.592044345	1178.05788478751	22480.364354622
"hsa-miR-151a-3p"	9000.08404969494	6529.90620730351	682.208284808832	601.436087018736	425.423754087285	9650.69423222156
"hsa-miR-151a-5p"	10886.0396447272	8086.29907424719	1311.5110397935	685.452698324295	640.770578779074	6519.20226537941
"hsa-miR-151b"	6.27711246815162	13.3578277091239	3.57467985062716	12.1356330687852	3.13809376563295	279.688917365784
"hsa-miR-152-3p"	86.8965899136074	444.584193720164	72.0657396719073	119.152585579406	11.0550143107405	22.0146049331568
"hsa-miR-152-5p"	20.8889345589581	78.3656826284373	8.51113872440951	0.741350655801586	0.391135759694926	0.610941665311471
"hsa-miR-154-5p"	1.81449152762839	24.3444250028882	0	0	0.344612487384827	0
"hsa-miR-155-5p"	1570.83804671094	806.676217007169	2136.05487792246	1585.414851121	60.0392738058664	3727.052908678
"hsa-miR-15a-5p"	389.624166809468	336.574586845246	1346.22121105634	2608.92752241033	2127.85635154982	5687.4289316279
"hsa-miR-15b-3p"	132.060637196275	63.2385906556783	22.3990535084909	63.0147775626832	93.0621702488405	41.2574012592364
"hsa-miR-15b-5p"	333.515132751943	274.449353400421	278.905198321981	497.453014874144	1764.44580140492	355.081542846708
"hsa-miR-16-2-3p"	67.7437469739529	93.3164431436038	52.7233508757188	230.224922011069	94.2638761988992	146.737879749399
"hsa-miR-16-5p"	4122.99261403877	3125.94902481917	8485.57392987331	14137.5689734347	12694.8687472349	49172.5483798573
"hsa-miR-17-3p"	112.887887747982	80.6085277426489	36.7454729764949	156.703005483387	136.098817748476	186.186205410442
"hsa-miR-17-5p"	658.227146423152	201.433847325522	170.887620508571	346.675242388728	248.343743966027	602.682312641231
"hsa-miR-181a-2-3p"	371.27325598431	332.03400701181	43.974129787699	360.656015453901	72.7516500215378	319.734051069304
"hsa-miR-181a-3p"	792.46286972838	1095.4993056672	472.911066100431	331.345360134446	168.030882947627	765.231955950667
"hsa-miR-181a-5p"	15174.4718920837	15804.5274668992	16791.0017711344	24832.2830202179	15035.6663952326	127621.556967397
"hsa-miR-181b-3p"	45.31554655716	18.2019954376642	7.98619807656494	1.73442655116449	0.871136398013563	7.37941176230768
"hsa-miR-181b-5p"	4506.11687928538	2580.23006161201	1535.17129931183	1390.29998720653	315.554584765389	2271.28913828962
"hsa-miR-181c-3p"	94.8008178030492	60.9428259013061	160.292752400557	89.6934629010349	151.196777903196	11.5405627751801
"hsa-miR-181c-5p"	228.112139288933	306.749422754228	958.607889681415	2024.70496850621	1646.87836390873	353.086720817196
"hsa-miR-181d-5p"	65.0840860514547	38.4989381443964	51.1613401000195	72.241813750549	58.5609914049526	9.44480874503271
"hsa-miR-182-5p"	29.0318040025701	34.4728093519626	11.3481601215698	19.0385109900891	280.444002853059	435.153078404599
